ofev_model,lead_time,model,N_rows,coverage_start,coverage_end,NSE,KGE,RMSE,REQ_%,TP_h,RER_%,MAPE_high_%,POD,FAR,CSI,NSE_high,KGE_high,RMSE_high,REQ_high_%,TP_high_h,RER_high_%,problem_reason
C2E_Ctrl,6,OFEV,1676,2020-09-15T13:00:00,2024-05-27T11:00:00,0.8955517926244814,0.8687339027200959,23.563295251994298,-13.19208500821162,0.0,-8.654699070358433,16.367662607842746,0.5555555555555556,0.16666666666666666,0.5,0.026567960557976278,0.5037457992700254,119.80390575307291,-36.418856876339625,0.0,-17.371812927558178,
C2E_Ctrl,6,Hydrique_ML,2639,2020-09-16T00:00:00,2024-05-27T00:00:00,0.8149970328805209,0.8471071022612691,26.96618124335442,-32.619751463277844,0.0,-14.736020431632443,32.43099313759836,0.3333333333333333,0.25,0.3,-1.8785141817060862,0.45248821059102695,198.09187927479528,-33.75810429919726,-8.0,-33.04383315891762,
C2E_Ctrl,6,Hydrique_Curve,2641,2020-09-16T00:00:00,2024-05-27T00:00:00,0.938707447937502,0.9649063516586845,15.480284031598245,-5.035925233564674,0.0,-0.6863821534784034,10.634544063888974,0.7777777777777778,0.125,0.7,0.6746524727524223,0.7002022247581619,66.59724146083596,2.7142006025537646,-8.0,-3.414572256765341,
C2E_Ctrl,6,SIG_CNR,1329,2020-09-15T14:00:00,2024-05-26T17:00:00,0.9576501377662292,0.9743381874070343,12.771543402022457,0.2677730119638807,0.0,-7.915398247612475,11.278632832729585,1.0,0.4444444444444444,0.5555555555555556,0.7848836116374867,0.8957720565060373,66.50772627662224,-9.672965004807017,,-3.683350551873072,
C2E_Ctrl,12,OFEV,1676,2020-09-15T19:00:00,2024-05-27T17:00:00,0.843164287720418,0.8587533791253172,28.096986204124693,-20.186794017888925,0.0,-16.915177355306824,35.64111537509233,0.5,0.2,0.4444444444444444,-6.251414748108882,-0.5380570064000942,180.63196875971266,13.560130417445293,-16.0,-20.18982294731775,
C2E_Ctrl,12,Hydrique_ML,2639,2020-09-16T06:00:00,2024-05-27T06:00:00,0.8003508301590576,0.8385101612385226,28.073479987718137,-34.44698677749143,0.0,-16.829720887853004,33.29065027489031,0.625,0.0,0.625,-1.0913894730539067,0.32818672111863667,211.19489992940805,-47.968737682086136,0.0,-30.633478660704572,
C2E_Ctrl,12,Hydrique_Curve,2641,2020-09-16T06:00:00,2024-05-27T06:00:00,0.8838954165063649,0.9198556064124808,21.287966288174392,2.0984934155634267,0.0,-2.6060535370677833,16.061004691513407,0.75,0.25,0.6,0.4021154648379137,0.7361383772343353,112.92097714470825,-25.56821589104377,0.0,-11.052690264675249,
C2E_Ctrl,12,SIG_CNR,1329,2020-09-15T20:00:00,2024-05-26T23:00:00,0.9155617765355213,0.9565825508008676,17.238254697071504,-13.73474994011453,22.0,-5.7979578269703,16.567747859425413,0.6666666666666666,0.0,0.6666666666666666,-1.4197613861994816,0.1724432865324318,103.56391597186627,-8.757908590505753,25.0,-6.7076828707745175,
C2E_Ctrl,24,OFEV,1676,2020-09-16T07:00:00,2024-05-28T05:00:00,0.8171150740352217,0.7828296830364164,31.51988928664176,-27.296171394564567,0.0,-16.166003151800002,28.632330858995797,0.42857142857142855,0.0,0.42857142857142855,-0.3358174446069335,0.40832475969724447,179.51156532036552,-30.75315764418863,1.0,-18.24366821119085,
C2E_Ctrl,24,Hydrique_ML,2639,2020-09-16T18:00:00,2024-05-27T18:00:00,0.7616196977180967,0.7748319713209638,30.47188846820344,-44.247934822236175,0.0,-22.314434680541982,38.13224769731174,0.25,0.0,0.25,-1.676253772407359,0.2996107609846409,244.1751006265445,-52.941883029595324,0.0,-39.50386967178123,
C2E_Ctrl,24,Hydrique_Curve,2641,2020-09-16T18:00:00,2024-05-27T18:00:00,0.8487340685856203,0.8820795244818437,24.10527142785747,-15.250991076008498,0.0,-8.677887941946434,14.644260548116925,0.625,0.0,0.625,0.4995708352391055,0.756294457434155,107.0264997226624,-25.842752501652495,0.0,-11.814803533353643,
C2E_Ctrl,24,SIG_CNR,1329,2020-09-16T08:00:00,2024-05-27T11:00:00,0.8801611117758688,0.8820637312318265,23.36468698985666,-22.227229145793114,0.0,-12.252834924330774,25.14828843287703,0.5555555555555556,0.0,0.5555555555555556,0.1783155895384091,0.65768867974706,166.42152201880486,-31.08027998719491,,-24.707844275138687,
