ofev_model,lead_time,model,N_rows,coverage_start,coverage_end,NSE,KGE,RMSE,REQ_%,TP_h,RER_%,MAPE_high_%,POD,FAR,CSI,NSE_high,KGE_high,RMSE_high,REQ_high_%,TP_high_h,RER_high_%,problem_reason
ECMWF,6,OFEV,2014,2020-06-11T12:00:00,2024-12-31T11:00:00,0.9088322170568844,0.880379936152048,21.171216272603562,-11.703852271585575,0.0,-9.460148486564309,14.011342983248397,0.5,0.16666666666666666,0.45454545454545453,0.130330381570944,0.4568597551278202,111.66475597952825,-36.8392468505311,0.0,-15.6471158190366,
ECMWF,6,Hydrique_ML,3251,2020-06-11T12:00:00,2024-12-31T12:00:00,0.814215962928502,0.8429488397700897,26.25715386548454,-32.619751463277844,0.0,-14.170916814766658,33.67904901600552,0.2727272727272727,0.25,0.25,-1.911445668287819,0.482932371054958,197.27248920207336,-33.75810429919726,-8.0,-34.00419912894262,
ECMWF,6,Hydrique_Curve,3254,2020-06-11T12:00:00,2024-12-31T12:00:00,0.921261489445043,0.9556989177372339,17.060673564397135,-7.844999305797017,0.0,-2.0153068890106525,13.077205711790151,0.6363636363636364,0.125,0.5833333333333334,0.5264728824210332,0.6009919117069988,79.5581374159667,2.7142006025537646,-8.0,-5.941335935594777,
ECMWF,12,OFEV,2014,2020-06-11T18:00:00,2024-12-31T17:00:00,0.8506369356693708,0.8273448674135225,26.2317047707336,-21.900512306375475,0.0,-21.752509873339346,26.115875334558837,0.375,0.0,0.375,-4.44575258863153,0.12573402326065763,156.53526614732453,-27.504163506571693,-8.0,-26.090667453391518,
ECMWF,12,Hydrique_ML,3251,2020-06-11T18:00:00,2024-12-31T18:00:00,0.8047283425283434,0.8416517712164452,26.83085914350781,-34.44698677749143,0.0,-16.829720887853004,33.29065027489031,0.625,0.0,0.625,-1.0913894730539067,0.32818672111863667,211.19489992940805,-47.968737682086136,0.0,-30.633478660704572,
ECMWF,12,Hydrique_Curve,3254,2020-06-11T18:00:00,2024-12-31T18:00:00,0.874642394035074,0.9215440305119917,21.398652287110014,2.0984934155634267,0.0,-2.6060535370677833,16.061004691513407,0.75,0.25,0.6,0.4021154648379137,0.7361383772343353,112.92097714470825,-25.56821589104377,0.0,-11.052690264675249,
ECMWF,24,OFEV,2013,2020-06-12T06:00:00,2024-12-31T05:00:00,0.7817562380848576,0.722451506283241,32.81524530170837,-32.57016428400729,0.0,-25.620941437404163,33.7462935616671,0.25,0.3333333333333333,0.2222222222222222,-1.0094913881427288,0.36823071412563124,215.44773846390905,-40.308762886418684,9.0,-35.32425460744818,
ECMWF,24,Hydrique_ML,3250,2020-06-12T06:00:00,2024-12-31T18:00:00,0.7632921610441729,0.7839057582451754,29.36544531202463,-44.247934822236175,0.0,-22.314434680541982,38.13224769731174,0.25,0.0,0.25,-1.676253772407359,0.2996107609846409,244.1751006265445,-52.941883029595324,0.0,-39.50386967178123,
ECMWF,24,Hydrique_Curve,3253,2020-06-12T06:00:00,2024-12-31T18:00:00,0.8351563156757682,0.8859290015098368,24.39408997553662,-15.250991076008498,0.0,-8.677887941946434,14.644260548116925,0.625,0.0,0.625,0.4995708352391055,0.756294457434155,107.0264997226624,-25.842752501652495,0.0,-11.814803533353643,
ECMWF,48,OFEV,2012,2020-06-13T06:00:00,2024-12-31T05:00:00,0.7255121646434566,0.6548832062185109,35.43928545687665,-43.783365624252376,0.0,-35.39300986993954,43.185752319117945,0.1111111111111111,0.0,0.1111111111111111,-1.7422857246041463,0.35404653295192046,252.0393573930101,-41.727499035920104,3.0,-44.159781507570486,
ECMWF,48,Hydrique_ML,3248,2020-06-13T06:00:00,2024-12-31T18:00:00,0.7139691339577687,0.7563930270110024,32.49799695773997,-37.76223339054466,0.0,-26.514281834108623,40.41421016863905,0.25,0.3333333333333333,0.2222222222222222,-2.0981884940580637,0.2104333051116699,257.0513481231643,-50.84003708597491,-6.0,-41.851915530697305,
ECMWF,48,Hydrique_Curve,3251,2020-06-13T06:00:00,2024-12-31T18:00:00,0.7651158250021646,0.8213326734265161,29.235962944916697,-28.261813414716123,0.0,-13.18012527029218,26.033033675771488,0.375,0.25,0.3333333333333333,-0.28250913453586657,0.6177026378980525,167.64008194255382,-36.039953669483374,0.0,-25.894708861368095,
